COLUMN_NAME,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE
NameId,int,10,0
RegionTypeId,int,10,0
ParentId,int,10,0
TimeZone,char,,
Alpha3Code,char,,
Alpha2Code,char,,
Modified,datetimeoffset,,
SessionId,int,10,0
UpdateVersion,timestamp,,
Alpha2CodeNameId,int,10,0
